date,amount,description,category
2025-10-30,-33.39,Cinema,Entertainment
2025-10-30,3023.16,Salary Deposit,Income
2025-10-30,-89.82,Netflix,Entertainment
2025-10-30,-69.65,Uber,Transport
2025-10-30,2358.49,Salary Deposit,Income
2025-10-30,2327.12,Salary Deposit,Income
2025-10-30,-92.61,Flight,Transport
2025-10-30,-1289.1,Monthly Rent,Rent
2025-10-30,4361.89,Salary Deposit,Income
2025-10-30,-160.04,Water Bill,Utilities
2025-10-30,4024.81,Salary Deposit,Income
2025-10-30,3174.39,Salary Deposit,Income
2025-10-30,-112.72,Concert,Entertainment
2025-10-30,-101.39,Subway,Transport
2025-10-30,-1005.85,Monthly Rent,Rent
2025-10-30,4603.11,Salary Deposit,Income
2025-10-30,-20.6,Internet,Utilities
2025-10-30,-94.89,Flight,Transport
2025-10-30,-86.8,Restaurant,Food
2025-10-30,-64.7,Fast Food,Food
2025-10-30,-170.67,Cinema,Entertainment
2025-10-30,-154.19,Coffee Shop,Food
2025-10-30,3634.85,Salary Deposit,Income
2025-10-30,-41.66,Fast Food,Food
2025-10-30,-99.77,Electric Bill,Utilities
2025-10-30,-168.53,Spotify,Entertainment
2025-10-30,-1034.57,Monthly Rent,Rent
2025-10-30,-108.2,Flight,Transport
2025-10-30,-78.84,Electric Bill,Utilities
2025-10-30,-196.37,Fast Food,Food
2025-10-30,-89.35,Gas Station,Transport
2025-10-30,2955.67,Salary Deposit,Income
2025-10-30,-123.1,Electric Bill,Utilities
2025-10-30,-198.49,Cinema,Entertainment
2025-10-30,-10.58,Cinema,Entertainment
2025-10-31,-126.12,Flight,Transport
2025-10-31,3539.64,Salary Deposit,Income
2025-10-31,-1175.83,Monthly Rent,Rent
2025-10-31,-114.88,Phone Bill,Utilities
2025-10-31,-173.18,Netflix,Entertainment
2025-10-31,4714.44,Salary Deposit,Income
2025-10-31,-97.61,Coffee Shop,Food
2025-10-31,2163.24,Salary Deposit,Income
2025-10-31,3290.78,Salary Deposit,Income
2025-10-31,-1472.86,Monthly Rent,Rent
2025-10-31,-191.21,Spotify,Entertainment
2025-10-31,-56.83,Restaurant,Food
2025-10-31,-27.96,Spotify,Entertainment
2025-10-31,-185.07,Phone Bill,Utilities
2025-10-31,-160.89,Uber,Transport
2025-10-31,4257.99,Salary Deposit,Income
2025-10-31,4413.95,Salary Deposit,Income
2025-10-31,-70.05,Concert,Entertainment
2025-10-31,-196.19,Coffee Shop,Food
2025-10-31,-1187.92,Monthly Rent,Rent
2025-10-31,-115.73,Subway,Transport
2025-10-31,-136.48,Netflix,Entertainment
2025-10-31,-114.62,Water Bill,Utilities
2025-10-31,-18.24,Groceries,Food
2025-10-31,-1004.18,Monthly Rent,Rent
2025-10-31,-188.76,Spotify,Entertainment
2025-10-31,-85.15,Spotify,Entertainment
2025-10-31,-10.84,Restaurant,Food
2025-10-31,-81.29,Gas Station,Transport
2025-10-31,-75.95,Subway,Transport
2025-10-31,-158.42,Spotify,Entertainment
2025-10-31,-181.07,Concert,Entertainment
2025-10-31,4081.48,Salary Deposit,Income
2025-10-31,-1046.52,Monthly Rent,Rent
2025-10-31,-122.46,Uber,Transport
2025-10-31,3381.05,Salary Deposit,Income
2025-10-31,-1106.7,Monthly Rent,Rent
2025-10-31,3829.09,Salary Deposit,Income
2025-10-31,-1040.29,Monthly Rent,Rent
2025-10-31,3618.7,Salary Deposit,Income
2025-10-31,-50.51,Uber,Transport
2025-10-31,-120.0,Electric Bill,Utilities
2025-10-31,-65.72,Flight,Transport
2025-10-31,-21.77,Electric Bill,Utilities
2025-10-31,-122.74,Internet,Utilities
2025-10-31,-117.49,Uber,Transport
2025-10-31,-165.07,Electric Bill,Utilities
2025-10-31,-158.86,Cinema,Entertainment
2025-10-31,-51.24,Internet,Utilities
2025-10-31,-1047.71,Monthly Rent,Rent
2025-11-01,3296.0,Salary Deposit,Income
2025-11-01,-1270.51,Monthly Rent,Rent
2025-11-01,4708.08,Salary Deposit,Income
2025-11-01,-167.3,Restaurant,Food
2025-11-01,2290.09,Salary Deposit,Income
2025-11-01,-99.89,Restaurant,Food
2025-11-01,4973.05,Salary Deposit,Income
2025-11-01,2781.01,Salary Deposit,Income
2025-11-01,-144.61,Uber,Transport
2025-11-01,-35.3,Cinema,Entertainment
2025-11-01,-83.58,Phone Bill,Utilities
2025-11-01,-142.71,Gas Station,Transport
2025-11-01,4560.22,Salary Deposit,Income
2025-11-01,3960.07,Salary Deposit,Income
2025-11-01,-185.85,Subway,Transport
2025-11-01,-162.48,Uber,Transport
2025-11-01,3572.67,Salary Deposit,Income
2025-11-01,-113.59,Cinema,Entertainment
2025-11-01,-195.36,Spotify,Entertainment
2025-11-01,-1013.04,Monthly Rent,Rent
2025-11-01,2693.75,Salary Deposit,Income
2025-11-01,-118.85,Internet,Utilities
2025-11-01,-132.49,Uber,Transport
2025-11-01,-186.71,Concert,Entertainment
2025-11-01,-99.48,Water Bill,Utilities
2025-11-01,-62.47,Coffee Shop,Food
2025-11-01,3253.51,Salary Deposit,Income
2025-11-01,-112.55,Netflix,Entertainment
2025-11-01,-15.28,Fast Food,Food
2025-11-01,-150.55,Concert,Entertainment
2025-11-01,-186.07,Concert,Entertainment
2025-11-01,-102.33,Subway,Transport
2025-11-01,2298.43,Salary Deposit,Income
2025-11-01,-63.32,Subway,Transport
2025-11-01,-76.47,Phone Bill,Utilities
2025-11-01,2744.79,Salary Deposit,Income
2025-11-01,-1408.76,Monthly Rent,Rent
2025-11-01,-115.25,Subway,Transport
2025-11-01,-1017.38,Monthly Rent,Rent
2025-11-01,-159.85,Restaurant,Food
2025-11-01,-59.41,Restaurant,Food
2025-11-01,-174.54,Water Bill,Utilities
2025-11-01,-116.43,Groceries,Food
2025-11-01,3608.18,Salary Deposit,Income
2025-11-01,-1453.8,Monthly Rent,Rent
2025-11-01,-108.21,Subway,Transport
2025-11-01,-174.58,Flight,Transport
2025-11-01,-82.8,Restaurant,Food
2025-11-01,-1096.55,Monthly Rent,Rent
2025-11-01,-52.72,Restaurant,Food
2025-11-01,-64.33,Cinema,Entertainment
2025-11-01,-100.97,Netflix,Entertainment
2025-11-01,2639.9,Salary Deposit,Income
2025-11-01,3310.7,Salary Deposit,Income
2025-11-01,-143.02,Groceries,Food
2025-11-01,-181.57,Coffee Shop,Food
2025-11-01,-87.85,Internet,Utilities
2025-11-01,-72.57,Cinema,Entertainment
2025-11-01,-1415.62,Monthly Rent,Rent
2025-11-01,-76.7,Restaurant,Food
2025-11-01,-92.72,Flight,Transport
2025-11-01,-1271.87,Monthly Rent,Rent
2025-11-01,-14.16,Internet,Utilities
2025-11-01,-66.38,Electric Bill,Utilities
2025-11-01,-186.88,Electric Bill,Utilities
2025-11-01,-165.57,Coffee Shop,Food
2025-11-01,-118.0,Phone Bill,Utilities
2025-11-02,-34.15,Netflix,Entertainment
2025-11-02,-91.97,Gas Station,Transport
2025-11-02,-60.5,Cinema,Entertainment
2025-11-02,-115.76,Groceries,Food
2025-11-02,-181.78,Uber,Transport
2025-11-02,-41.36,Concert,Entertainment
2025-11-02,-149.54,Subway,Transport
2025-11-02,-119.94,Groceries,Food
2025-11-02,-133.32,Netflix,Entertainment
2025-11-02,-144.87,Uber,Transport
2025-11-02,-1114.9,Monthly Rent,Rent
2025-11-02,-1092.62,Monthly Rent,Rent
2025-11-02,-83.06,Gas Station,Transport
2025-11-02,-157.51,Electric Bill,Utilities
2025-11-02,-27.38,Netflix,Entertainment
2025-11-02,-198.16,Spotify,Entertainment
2025-11-02,-137.1,Phone Bill,Utilities
2025-11-02,-1410.2,Monthly Rent,Rent
2025-11-02,-1145.52,Monthly Rent,Rent
2025-11-02,-58.7,Phone Bill,Utilities
2025-11-02,-142.57,Electric Bill,Utilities
2025-11-02,-131.23,Subway,Transport
2025-11-02,-111.43,Cinema,Entertainment
2025-11-02,3237.55,Salary Deposit,Income
2025-11-02,-177.61,Phone Bill,Utilities
2025-11-02,-63.22,Uber,Transport
2025-11-02,-117.81,Water Bill,Utilities
2025-11-02,-1044.51,Monthly Rent,Rent
2025-11-02,-1449.8,Monthly Rent,Rent
2025-11-02,-96.77,Water Bill,Utilities
2025-11-02,3857.83,Salary Deposit,Income
2025-11-02,-180.26,Electric Bill,Utilities
2025-11-02,2803.64,Salary Deposit,Income
2025-11-02,2438.3,Salary Deposit,Income
2025-11-02,-33.1,Fast Food,Food
2025-11-02,-83.7,Electric Bill,Utilities
2025-11-02,-84.21,Gas Station,Transport
2025-11-02,-108.32,Uber,Transport
2025-11-02,-181.32,Restaurant,Food
2025-11-02,2790.92,Salary Deposit,Income
2025-11-02,-1448.44,Monthly Rent,Rent
2025-11-02,-28.0,Coffee Shop,Food
2025-11-02,-194.03,Concert,Entertainment
2025-11-02,-84.17,Concert,Entertainment
2025-11-02,-1197.19,Monthly Rent,Rent
2025-11-02,3879.38,Salary Deposit,Income
2025-11-02,-65.93,Subway,Transport
2025-11-02,-153.16,Flight,Transport
2025-11-03,-179.43,Cinema,Entertainment
2025-11-03,-1289.22,Monthly Rent,Rent
2025-11-03,3203.61,Salary Deposit,Income
2025-11-03,4469.68,Salary Deposit,Income
2025-11-03,2262.21,Salary Deposit,Income
2025-11-03,-152.15,Concert,Entertainment
2025-11-03,-91.27,Groceries,Food
2025-11-03,-80.79,Flight,Transport
2025-11-03,-100.57,Netflix,Entertainment
2025-11-03,-79.71,Groceries,Food
2025-11-03,3829.97,Salary Deposit,Income
2025-11-03,3608.04,Salary Deposit,Income
2025-11-03,-41.27,Coffee Shop,Food
2025-11-03,-193.58,Groceries,Food
2025-11-03,-36.99,Coffee Shop,Food
2025-11-03,-78.81,Internet,Utilities
2025-11-03,3988.5,Salary Deposit,Income
2025-11-03,-178.21,Electric Bill,Utilities
2025-11-03,-103.46,Electric Bill,Utilities
2025-11-03,-94.57,Netflix,Entertainment
2025-11-03,-157.9,Electric Bill,Utilities
2025-11-03,-191.77,Phone Bill,Utilities
2025-11-03,-50.95,Fast Food,Food
2025-11-03,-187.51,Spotify,Entertainment
2025-11-03,2548.23,Salary Deposit,Income
2025-11-03,-1451.84,Monthly Rent,Rent
2025-11-03,-96.93,Gas Station,Transport
2025-11-03,-157.9,Restaurant,Food
2025-11-03,-28.68,Gas Station,Transport
2025-11-03,-118.87,Groceries,Food
2025-11-03,-23.29,Electric Bill,Utilities
2025-11-03,-46.32,Concert,Entertainment
2025-11-03,4466.77,Salary Deposit,Income
2025-11-03,-53.38,Concert,Entertainment
2025-11-03,-76.11,Coffee Shop,Food
2025-11-03,3834.02,Salary Deposit,Income
2025-11-03,-49.06,Spotify,Entertainment
2025-11-03,-1139.83,Monthly Rent,Rent
2025-11-03,2741.57,Salary Deposit,Income
2025-11-03,-112.15,Uber,Transport
2025-11-03,-174.26,Netflix,Entertainment
2025-11-03,-36.58,Electric Bill,Utilities
2025-11-03,-17.18,Fast Food,Food
2025-11-03,3289.22,Salary Deposit,Income
2025-11-03,-183.56,Fast Food,Food
2025-11-03,-176.09,Uber,Transport
2025-11-03,-617.1,Flight,Transport
2025-11-03,-10.62,Restaurant,Food
2025-11-03,-71.38,Netflix,Entertainment
2025-11-03,-92.99,Gas Station,Transport
2025-11-03,-198.71,Gas Station,Transport
2025-11-03,-109.84,Netflix,Entertainment
2025-11-03,-127.3,Spotify,Entertainment
2025-11-03,-1443.75,Monthly Rent,Rent
2025-11-03,-165.39,Restaurant,Food
2025-11-03,-1439.13,Monthly Rent,Rent
2025-11-03,2916.1,Salary Deposit,Income
2025-11-03,-144.52,Restaurant,Food
2025-11-03,4536.86,Salary Deposit,Income
2025-11-04,-10.7,Electric Bill,Utilities
2025-11-04,4452.65,Salary Deposit,Income
2025-11-04,-1381.64,Monthly Rent,Rent
2025-11-04,-115.48,Gas Station,Transport
2025-11-04,-1109.84,Monthly Rent,Rent
2025-11-04,-180.11,Water Bill,Utilities
2025-11-04,4494.46,Salary Deposit,Income
2025-11-04,-43.47,Internet,Utilities
2025-11-04,-1339.33,Monthly Rent,Rent
2025-11-04,2876.69,Salary Deposit,Income
2025-11-04,-181.19,Fast Food,Food
2025-11-04,-52.87,Electric Bill,Utilities
2025-11-04,-54.65,Internet,Utilities
2025-11-04,-34.18,Internet,Utilities
2025-11-04,-78.89,Flight,Transport
2025-11-04,-157.79,Restaurant,Food
2025-11-04,-140.15,Gas Station,Transport
2025-11-04,-192.81,Gas Station,Transport
2025-11-04,-54.12,Water Bill,Utilities
2025-11-04,-1088.31,Monthly Rent,Rent
2025-11-04,-49.53,Spotify,Entertainment
2025-11-04,-181.78,Gas Station,Transport
2025-11-04,-65.85,Gas Station,Transport
2025-11-04,4720.32,Salary Deposit,Income
2025-11-04,2334.64,Salary Deposit,Income
2025-11-04,4060.84,Salary Deposit,Income
2025-11-04,4160.32,Salary Deposit,Income
2025-11-04,2653.46,Salary Deposit,Income
2025-11-04,-190.32,Gas Station,Transport
2025-11-04,-1492.42,Monthly Rent,Rent
2025-11-04,-175.19,Concert,Entertainment
2025-11-04,-104.37,Phone Bill,Utilities
2025-11-04,-86.32,Water Bill,Utilities
2025-11-04,4545.52,Salary Deposit,Income
2025-11-04,-178.13,Electric Bill,Utilities
2025-11-04,-155.37,Subway,Transport
2025-11-04,-64.54,Spotify,Entertainment
2025-11-04,-109.99,Subway,Transport
2025-11-04,3996.84,Salary Deposit,Income
2025-11-04,-56.0,Phone Bill,Utilities
2025-11-04,-175.47,Spotify,Entertainment
2025-11-04,-36.93,Groceries,Food
2025-11-04,-1293.64,Monthly Rent,Rent
2025-11-04,-174.78,Subway,Transport
2025-11-04,-170.17,Cinema,Entertainment
2025-11-04,-105.1,Coffee Shop,Food
2025-11-04,-143.76,Internet,Utilities
2025-11-04,-153.1,Netflix,Entertainment
2025-11-04,-57.24,Subway,Transport
2025-11-04,-15.12,Phone Bill,Utilities
2025-11-05,-45.97,Flight,Transport
2025-11-05,-798.91,Cinema,Entertainment
2025-11-05,-92.92,Concert,Entertainment
2025-11-05,-146.42,Groceries,Food
2025-11-05,4034.16,Salary Deposit,Income
2025-11-05,-105.17,Uber,Transport
2025-11-05,-48.22,Concert,Entertainment
2025-11-05,4916.66,Salary Deposit,Income
2025-11-05,-82.21,Netflix,Entertainment
2025-11-05,-54.39,Coffee Shop,Food
2025-11-05,-10.71,Coffee Shop,Food
2025-11-05,-49.76,Gas Station,Transport
2025-11-05,-1346.44,Monthly Rent,Rent
2025-11-05,-20.96,Groceries,Food
2025-11-05,-14.2,Cinema,Entertainment
2025-11-05,-189.03,Restaurant,Food
2025-11-05,-51.96,Coffee Shop,Food
2025-11-05,-1248.38,Monthly Rent,Rent
2025-11-05,4846.85,Salary Deposit,Income
2025-11-05,-95.84,Flight,Transport
2025-11-05,-45.05,Subway,Transport
2025-11-05,-28.43,Spotify,Entertainment
2025-11-05,-602.22,Fast Food,Food
2025-11-05,-1157.67,Monthly Rent,Rent
2025-11-05,-84.3,Coffee Shop,Food
2025-11-05,2876.83,Salary Deposit,Income
2025-11-05,-198.34,Concert,Entertainment
2025-11-05,3268.91,Salary Deposit,Income
2025-11-05,2963.0,Salary Deposit,Income
2025-11-05,-106.43,Phone Bill,Utilities
2025-11-05,-147.38,Flight,Transport
2025-11-05,-77.76,Cinema,Entertainment
2025-11-05,3614.7,Salary Deposit,Income
2025-11-05,2389.26,Salary Deposit,Income
2025-11-05,-97.49,Flight,Transport
2025-11-05,-110.75,Water Bill,Utilities
2025-11-05,-75.24,Subway,Transport
2025-11-05,2216.46,Salary Deposit,Income
2025-11-05,-138.89,Subway,Transport
2025-11-05,-74.26,Uber,Transport
2025-11-05,-25.08,Flight,Transport
2025-11-05,-107.27,Netflix,Entertainment
2025-11-05,-170.35,Spotify,Entertainment
2025-11-05,-42.51,Subway,Transport
2025-11-05,4007.8,Salary Deposit,Income
2025-11-05,-1302.19,Monthly Rent,Rent
2025-11-05,-108.18,Netflix,Entertainment
2025-11-05,-38.3,Restaurant,Food
2025-11-05,-1086.76,Monthly Rent,Rent
2025-11-05,-99.99,Water Bill,Utilities
2025-11-05,-90.62,Gas Station,Transport
2025-11-05,-10.05,Flight,Transport
2025-11-05,-1319.78,Monthly Rent,Rent
2025-11-05,-109.98,Water Bill,Utilities
2025-11-05,-31.25,Gas Station,Transport
2025-11-05,4670.49,Salary Deposit,Income
2025-11-05,-82.85,Uber,Transport
2025-11-05,-199.19,Phone Bill,Utilities
